TenureGroup,Complain,用户数,流失人数,流失率,平均订单数,平均满意度,样本提示,投诉状态
新用户,1,194,139,0.7164948453608248,2.118556701030928,2.943298969072165,可观察,有投诉
0-6个月,1,465,236,0.5075268817204301,2.868817204301075,3.032258064516129,可观察,有投诉
新用户,0,314,133,0.42356687898089174,1.7484076433121019,3.3248407643312103,可观察,无投诉
7-12个月,1,406,81,0.19950738916256158,2.667487684729064,3.022167487684729,可观察,有投诉
0-6个月,0,1177,189,0.16057774001699235,2.610875106202209,3.1138487680543756,可观察,无投诉
13-24个月,1,414,52,0.12560386473429952,3.345410628019324,2.9057971014492754,可观察,有投诉
7-12个月,0,1178,75,0.0636672325976231,2.775042444821732,2.9787775891341255,可观察,无投诉
13-24个月,0,1053,43,0.04083570750237417,3.8461538461538463,3.1595441595441596,可观察,无投诉
24个月以上,1,125,0,0.0,3.056,3.192,可观察,有投诉
24个月以上,0,304,0,0.0,3.7467105263157894,2.9967105263157894,可观察,无投诉
